SNO,NAME,EMAIL,SCORE
1,msulthan139,,40
2,krishnasurya2011,,40
3,karthi99412,,40
4,srimathia722,,35
5,kmohammedibrahi2,,30
6,uvaisfarook1999,,30
7,naufalsyed2005,,30
8,tajunnaseera006,,30
9,yokeshwaran03201,,30
10,faraazmohammed32,,30
11,nagamunthalaven1,,30
12,ssanthiyas314,,24
13,nausheennihar851,,24
14,navinesh143n,,20
15,mohamedyusuf1221,,20
16,sriramnataraj16,,20
17,narenchowdary48,,20
18,hemavathianbara1,,20
19,makshayagokul,,20
20,sabdharali82,,20
21,rathinasabapath3,,20
22,syedhazeera91,,20
23,mohammedshaheed2,,20
24,sasikumarnelava1,,20
25,oblivionarchite1,,16
26,srimathiparthib2,,14
27,shabreenshaik14,,14
28,pattabhichenchu,,14
29,obbuchandana,,14
30,nanthinirajeswa1,,14
31,sajeesajeeshmasv,,14
32,safeyasherien,,14
33,ppk763957,,10
34,karimulla1010sk,,10
35,prathapadany,,10
36,priyadharshi1460,,4
37,munik0991,,4
38,pavithra110201,,0
39,vellampatipooja,,0
40,naveenreddy47168,,0
41,lakshmichittive1,,0
42,settipallivishn1,,0
